contig	S2052
S2052_000000000001_split_00001	213.5575373427673
S2052_000000000001_split_00002	212.7819431427679
S2052_000000000001_split_00003	211.3820842699316
S2052_000000000001_split_00004	216.2938868236266
S2052_000000000001_split_00005	214.87161120230812
S2052_000000000001_split_00006	217.30921876505153
S2052_000000000001_split_00007	222.48362960997613
S2052_000000000001_split_00008	214.27894657938134
S2052_000000000001_split_00009	218.9457116788321
S2052_000000000001_split_00010	216.1687306501548
S2052_000000000001_split_00011	216.35360492379837
S2052_000000000001_split_00012	219.12392199137594
S2052_000000000001_split_00013	218.32349360925136
S2052_000000000001_split_00014	215.17794836008375
S2052_000000000001_split_00015	215.87248222748815
S2052_000000000001_split_00016	213.89364640883977
S2052_000000000001_split_00017	211.1133680897108
S2052_000000000001_split_00018	219.28178203690487
S2052_000000000001_split_00019	214.8661997788426
S2052_000000000001_split_00020	206.26443579194827
S2052_000000000001_split_00021	217.61435577351762
S2052_000000000001_split_00022	213.58474490313418
S2052_000000000001_split_00023	204.00941164876318
S2052_000000000001_split_00024	217.77136881245642
S2052_000000000001_split_00025	209.78575670860104
S2052_000000000001_split_00026	210.30964912280703
S2052_000000000001_split_00027	222.5
S2052_000000000001_split_00028	217.28998968008256
S2052_000000000001_split_00029	217.41825647188423
S2052_000000000001_split_00030	216.42800255641316
S2052_000000000001_split_00031	218.29260645291797
S2052_000000000001_split_00032	218.23038239394543
S2052_000000000001_split_00033	221.42368173024457
S2052_000000000001_split_00034	213.69479582778519
S2052_000000000001_split_00035	211.2349441366155
S2052_000000000001_split_00036	223.42716830364574
S2052_000000000001_split_00037	219.90026258601955
S2052_000000000001_split_00038	215.79064274586662
S2052_000000000001_split_00039	216.7437757789594
S2052_000000000001_split_00040	218.85728404823087
S2052_000000000001_split_00041	219.36854241279497
S2052_000000000001_split_00042	214.08120968594693
S2052_000000000001_split_00043	217.2816928471922
S2052_000000000001_split_00044	217.15880769614196
S2052_000000000001_split_00045	215.85451776150936
S2052_000000000001_split_00046	217.76038627904637
S2052_000000000001_split_00047	222.178594681224
S2052_000000000002_split_00001	220.24744461403264
S2052_000000000002_split_00002	211.70480340494527
S2052_000000000002_split_00003	219.7046712634748
S2052_000000000002_split_00004	213.20720433535226
S2052_000000000002_split_00005	208.42515274949085
S2052_000000000002_split_00006	218.6195884294312
S2052_000000000002_split_00007	221.7718600953895
S2052_000000000002_split_00008	216.85372585096596
S2052_000000000002_split_00009	221.130081300813
S2052_000000000002_split_00010	219.66884552080884
S2052_000000000002_split_00011	217.97633610749023
S2052_000000000002_split_00012	216.8178792851933
S2052_000000000002_split_00013	214.45448825503357
S2052_000000000002_split_00014	215.3905783328808
S2052_000000000002_split_00015	225.96377123713808
S2052_000000000002_split_00016	216.77764312375783
S2052_000000000002_split_00017	220.47541536238865
S2052_000000000002_split_00018	217.96706210746686
S2052_000000000002_split_00019	216.19519744396186
S2052_000000000002_split_00020	219.1550774199677
S2052_000000000002_split_00021	215.59085534095388
S2052_000000000002_split_00022	216.37287402709714
S2052_000000000002_split_00023	214.60222080283006
S2052_000000000002_split_00024	214.32775119617224
S2052_000000000003_split_00001	217.2632567108134
S2052_000000000003_split_00002	215.53466260500323
S2052_000000000003_split_00003	215.68231821840624
S2052_000000000003_split_00004	222.04759706384746
S2052_000000000003_split_00005	215.87869558367905
S2052_000000000003_split_00006	214.70740927419354
S2052_000000000003_split_00007	209.20149953139645
S2052_000000000003_split_00008	208.53074141048825
S2052_000000000003_split_00009	212.6888899586021
S2052_000000000003_split_00010	219.22171696981812
S2052_000000000003_split_00011	214.6782347699667
S2052_000000000003_split_00012	214.8671309062018
S2052_000000000003_split_00013	221.34873109459113
S2052_000000000003_split_00014	216.59069701682455
S2052_000000000003_split_00015	209.18688018805554
S2052_000000000003_split_00016	215.11641573579408
S2052_000000000003_split_00017	218.65535372848947
S2052_000000000003_split_00018	220.29284310683627
S2052_000000000003_split_00019	215.46359266512374
S2052_000000000003_split_00020	221.5776372375411
S2052_000000000003_split_00021	213.68204034479695
S2052_000000000003_split_00022	206.96454189347307
S2052_000000000003_split_00023	212.37625885863483
S2052_000000000003_split_00024	215.10815450643776
S2052_000000000004_split_00001	209.06857807051531
S2052_000000000004_split_00002	215.8103526792491
S2052_000000000004_split_00003	221.6459464797077
S2052_000000000004_split_00004	215.26510263929617
S2052_000000000004_split_00005	214.61692120966927
S2052_000000000004_split_00006	219.50830517348055
S2052_000000000004_split_00007	221.74132073468522
S2052_000000000004_split_00008	224.6043092855889
S2052_000000000004_split_00009	217.20975314251098
S2052_000000000004_split_00010	210.42726869423768
S2052_000000000004_split_00011	214.89310023994906
S2052_000000000004_split_00012	215.13770696958028
S2052_000000000004_split_00013	216.0464027678844
S2052_000000000004_split_00014	213.58557981371052
S2052_000000000004_split_00015	217.41769938037177
S2052_000000000004_split_00016	217.35724365004702
S2052_000000000004_split_00017	215.8933106689331
S2052_000000000004_split_00018	217.2360895477538
S2052_000000000004_split_00019	217.8816067653277
S2052_000000000004_split_00020	212.99603960396038
S2052_000000000004_split_00021	219.50621933693444
S2052_000000000004_split_00022	216.31052553517574
S2052_000000000004_split_00023	220.35848425479045
S2052_000000000005_split_00001	214.71332234377343
S2052_000000000005_split_00002	217.26898263027294
S2052_000000000005_split_00003	218.17268786127167
S2052_000000000005_split_00004	212.88893967093236
S2052_000000000005_split_00005	214.66120948880723
S2052_000000000005_split_00006	214.09801060362858
S2052_000000000005_split_00007	217.25409142913992
S2052_000000000005_split_00008	218.9496834701055
S2052_000000000005_split_00009	223.42648614343136
S2052_000000000005_split_00010	220.56896048277204
S2052_000000000005_split_00011	227.3302012759013
S2052_000000000005_split_00012	222.71684304223123
S2052_000000000005_split_00013	224.75256905108026
S2052_000000000005_split_00014	209.10385326603028
S2052_000000000005_split_00015	220.62045239915457
S2052_000000000005_split_00016	217.5316031812474
S2052_000000000005_split_00017	220.42262803098905
S2052_000000000005_split_00018	223.80945544554456
S2052_000000000005_split_00019	220.4587133227597
S2052_000000000006_split_00001	216.58905429493666
S2052_000000000006_split_00002	214.9699655855668
S2052_000000000006_split_00003	211.6918221349418
S2052_000000000006_split_00004	216.1627617019066
S2052_000000000006_split_00005	219.8669380548335
S2052_000000000006_split_00006	210.39450845795537
S2052_000000000006_split_00007	216.01164564686738
S2052_000000000006_split_00008	214.94672510348187
S2052_000000000006_split_00009	216.64236316933412
S2052_000000000006_split_00010	212.32237768804583
S2052_000000000006_split_00011	213.75336968823953
S2052_000000000006_split_00012	215.20310511580556
S2052_000000000006_split_00013	216.39572876685367
S2052_000000000006_split_00014	218.27087660988784
S2052_000000000006_split_00015	217.2274959957288
S2052_000000000007_split_00001	220.90121674572077
S2052_000000000007_split_00002	219.27988720890662
S2052_000000000007_split_00003	219.14315590300254
S2052_000000000007_split_00004	212.88628359145076
S2052_000000000007_split_00005	217.58699335928554
S2052_000000000007_split_00006	214.01237003465744
S2052_000000000007_split_00007	212.32647559591373
S2052_000000000007_split_00008	208.66095514037366
S2052_000000000007_split_00009	215.71708669096134
S2052_000000000007_split_00010	212.8199948992604
S2052_000000000007_split_00011	223.9024564070889
S2052_000000000007_split_00012	215.47573622933177
S2052_000000000007_split_00013	215.78757355141119
S2052_000000000008_split_00001	223.67253847580196
S2052_000000000008_split_00002	216.40850527495098
S2052_000000000008_split_00003	214.5225740749721
S2052_000000000008_split_00004	219.46589619667998
S2052_000000000008_split_00005	220.76229945228056
S2052_000000000008_split_00006	221.01863149990615
S2052_000000000008_split_00007	215.9378581493659
S2052_000000000008_split_00008	238.9548914698334
S2052_000000000008_split_00009	219.66853337369457
S2052_000000000008_split_00010	218.77097157571555
S2052_000000000008_split_00011	218.34952714082135
S2052_000000000009_split_00001	359.95893367870053
S2052_000000000009_split_00002	365.4582964013473
S2052_000000000009_split_00003	345.5138844894943
S2052_000000000009_split_00004	340.98764666603074
S2052_000000000009_split_00005	354.6545914844649
S2052_000000000009_split_00006	335.3248502994012
S2052_000000000009_split_00007	336.9271253071253
S2052_000000000009_split_00008	336.360684596577
S2052_000000000009_split_00009	327.2889339073183
S2052_000000000009_split_00010	353.9233673084183
S2052_000000000009_split_00011	360.97068078517555
S2052_000000000010_split_00001	220.8397901727706
S2052_000000000010_split_00002	214.61803992914253
S2052_000000000010_split_00003	220.49365324306834
S2052_000000000010_split_00004	220.20425818234247
